gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/13/22,0,1,0.988315503,0.888231932,0.766178018,0.61494146,0.41316804,0.267723452,1,1,2250,Gonzaga,96.47,West,1,0
mens,3/13/22,0,1,0.974672994,0.800722557,0.541826925,0.358564607,0.205318748,0.101302316,1,1,2305,Kansas,91.72,Midwest,1,64
mens,3/13/22,0,1,0.954785246,0.801731397,0.484987486,0.323653862,0.14861479,0.082664534,1,1,96,Kentucky,91.23,East,2,60
mens,3/13/22,0,1,0.968361095,0.818197465,0.509311113,0.315416811,0.169064524,0.077933331,1,1,12,Arizona,91.39,South,1,96
mens,3/13/22,0,1,0.94613649,0.75597527,0.488051486,0.229441765,0.123964058,0.057582709,1,1,2,Auburn,89.6,Midwest,2,92
mens,3/13/22,0,1,0.948285722,0.677300424,0.402191266,0.194682367,0.10230466,0.046192596,1,1,222,Villanova,90.22,South,2,124
mens,3/13/22,0,1,0.945481071,0.636741669,0.315936117,0.194554499,0.08010555,0.040978696,1,1,2509,Purdue,89.44,East,3,52
mens,3/13/22,0,1,0.810616792,0.598788004,0.286175912,0.172681323,0.082758839,0.034048916,1,1,2294,Iowa,88.55,Midwest,5,72
mens,3/13/22,0,1,0.938408006,0.628958482,0.323322934,0.145947613,0.073572942,0.031816527,1,1,2633,Tennessee,88.55,South,3,116
mens,3/13/22,0,1,0.926055075,0.657613428,0.375858557,0.162030606,0.06395688,0.031663826,1,1,26,UCLA,89.84,East,4,44
mens,3/13/22,0,1,0.750431517,0.418820355,0.214758998,0.128215376,0.067166357,0.030228265,1,1,248,Houston,88.15,South,5,104
mens,3/13/22,0,1,0.970915813,0.709424542,0.377252101,0.110075273,0.058024608,0.02988346,1,1,150,Duke,89.34,West,2,28
mens,3/13/22,0,1,0.926848935,0.638636456,0.3682348,0.113186084,0.057058506,0.028202047,1,1,2641,Texas Tech,88.7,West,3,20
mens,3/13/22,0,1,0.96439315,0.70715005,0.355954628,0.137930876,0.053257568,0.025917918,1,1,239,Baylor,87.92,East,1,32
mens,3/13/22,0,1,0.815208911,0.443868183,0.178281907,0.088027326,0.040632079,0.016053662,1,1,356,Illinois,87.07,South,4,108
mens,3/13/22,0,1,0.670088406,0.352696739,0.15547226,0.058107142,0.028167748,0.011721774,1,1,99,Louisiana State,85.72,Midwest,6,80
mens,3/13/22,0,1,0.718409659,0.380887993,0.07965589,0.041633052,0.020518909,0.009933858,1,1,8,Arkansas,86.78,West,4,12
mens,3/13/22,0,1,0.848665183,0.480684857,0.212510353,0.079660957,0.027901008,0.008452994,1,1,275,Wisconsin,84.64,Midwest,3,84
mens,3/13/22,0,1,0.541793395,0.199541838,0.079300288,0.041334428,0.016179549,0.007958153,1,1,251,Texas,86.31,East,6,48
mens,3/13/22,0,1,0.86439005,0.488333253,0.08310251,0.038122411,0.016133705,0.006799793,1,1,41,Connecticut,86.45,West,5,8
mens,3/13/22,0,1,0.620860144,0.234148747,0.106832071,0.024443192,0.011547042,0.00537795,1,1,333,Alabama,85.15,West,6,16
mens,3/13/22,0,1,0.689843871,0.277068894,0.108824889,0.037604249,0.014819284,0.00499383,1,1,130,Michigan,84.73,South,11,114
mens,3/13/22,0,1,0.458206605,0.155701544,0.063122207,0.033410399,0.010634703,0.004441833,1,1,259,Virginia Tech,84.68,East,11,50
mens,3/13/22,0,1,0.57871646,0.178506113,0.085789085,0.031585716,0.009221844,0.003592143,1,1,153,North Carolina,83.99,East,8,36
mens,3/13/22,0,1,0.552055124,0.181621661,0.07832736,0.026834081,0.010594076,0.003576462,1,1,194,Ohio State,84.17,South,7,120
mens,3/13/22,0,1,0.541464303,0.062631917,0.034682897,0.016523194,0.007715795,0.003555863,1,1,235,Memphis,85.47,West,9,6
mens,3/13/22,0,1,0.621938596,0.220518278,0.087836462,0.025465794,0.006849575,0.00249505,1,1,2608,Saint Mary's (CA),84.32,East,5,40
mens,3/13/22,0,1,0.447944876,0.132520714,0.056910521,0.019411532,0.007518896,0.002490523,1,1,2350,Loyola (IL),83.7,South,10,122
mens,3/13/22,0,1,0.664987699,0.232113004,0.06045088,0.02293928,0.007128438,0.001925975,1,1,2507,Providence,82.72,Midwest,4,76
mens,3/13/22,1,0.756830563,0.303247523,0.088503913,0.042059758,0.014722364,0.004439755,0.001775377,0,1,84,Indiana,83.01,East,12b,43
mens,3/13/22,0,1,0.5117736,0.148922678,0.057789042,0.011681277,0.004490249,0.00173488,1,1,127,Michigan State,83.49,West,7,24
mens,3/13/22,0,1,0.554353603,0.114495944,0.044236162,0.016990725,0.005789032,0.001708056,1,1,21,San Diego State,83.49,Midwest,8,68
mens,3/13/22,0,1,0.534690827,0.127797126,0.054936443,0.016023989,0.005439643,0.001599331,1,1,30,Southern California,83.43,Midwest,7,88
mens,3/13/22,0,1,0.507236821,0.089610095,0.034635906,0.013878072,0.004786487,0.001413154,1,1,2628,Texas Christian,81.92,South,9,102
mens,3/13/22,0,1,0.492763179,0.085558717,0.029610786,0.010729893,0.003758856,0.001126984,1,1,2550,Seton Hall,82.84,South,8,100
mens,3/13/22,0,1,0.42128354,0.109686652,0.042402096,0.0123654,0.003048752,0.001033409,1,1,269,Marquette,81.92,East,9,38
mens,3/13/22,0,1,0.458535697,0.047544465,0.02409789,0.01046319,0.003166329,0.00098573,1,1,68,Boise State,82.49,West,8,4
mens,3/13/22,0,1,0.445646397,0.08083219,0.031047826,0.011858411,0.003655793,0.000980248,1,1,156,Creighton,81.49,Midwest,9,70
mens,3/13/22,0,1,0.528026182,0.10138865,0.029167818,0.01094415,0.002732407,0.000935895,1,1,93,Murray State,81.37,East,7,56
mens,3/13/22,0,1,0.4882264,0.138535848,0.044407088,0.007306367,0.002543958,0.000898937,1,1,2166,Davidson,81.92,West,10,26
mens,3/13/22,0,1,0.249568483,0.087648187,0.022885266,0.007945337,0.00280734,0.000848862,1,1,5,Alabama-Birmingham,81.15,South,12,106
mens,3/13/22,0,1,0.471973818,0.084866043,0.024830761,0.009444427,0.002377208,0.000819745,1,1,2539,San Francisco,83,East,10,58
mens,3/13/22,0,1,0.465309173,0.102925057,0.037721401,0.00928558,0.002918362,0.000797056,1,1,2390,Miami (FL),81.16,Midwest,10,90
mens,3/13/22,0,1,0.329911594,0.130069377,0.041965192,0.011479096,0.003233926,0.000795767,1,1,66,Iowa State,80.59,Midwest,11,82
mens,3/13/22,0,1,0.310156129,0.083674123,0.028091699,0.008335696,0.002680799,0.000738776,1,1,36,Colorado State,81.65,South,6,112
mens,3/13/22,1,0.561828015,0.219849958,0.067070823,0.025894101,0.004888704,0.001789276,0.000661385,0,1,87,Notre Dame,81.64,West,11b,19
mens,3/13/22,1,0.438171985,0.159289898,0.045346026,0.016510775,0.002920723,0.001022589,0.000363152,0,1,164,Rutgers,81.12,West,11a,18
mens,3/13/22,0,1,0.189383208,0.088067866,0.018254152,0.005731522,0.001501168,0.000344631,1,1,257,Richmond,79.71,Midwest,12,74
mens,3/13/22,0,1,0.335012301,0.081031126,0.01761775,0.005758943,0.001486805,0.000336694,1,1,2571,South Dakota State,79.68,Midwest,13,78
mens,3/13/22,0,1,0.281590341,0.100518048,0.009427243,0.002804777,0.00077579,0.000222631,1,1,261,Vermont,80.32,West,13,14
mens,3/13/22,0,1,0.184791089,0.049663275,0.009648179,0.002595951,0.000718199,0.000170747,1,1,236,Chattanooga,78.68,South,13,110
mens,3/13/22,1,0.243169437,0.074813881,0.016997112,0.005219293,0.001158759,0.000242621,7.17E-05,0,1,2751,Wyoming,78.49,East,12a,42
mens,3/13/22,0,1,0.13560995,0.030260705,0.002599587,0.000721287,0.000163882,3.93E-05,1,1,166,New Mexico State,77.67,West,12,10
mens,3/13/22,0,1,0.151334817,0.036549027,0.007143304,0.00119313,0.000216842,3.52E-05,1,1,2142,Colgate,76.39,Midwest,14,86
mens,3/13/22,0,1,0.073944925,0.016367268,0.004259767,0.000801149,0.000117656,2.55E-05,1,1,2006,Akron,76.67,East,13,46
mens,3/13/22,0,1,0.045214754,0.01201391,0.001430404,0.00025297,2.88E-05,4.97E-06,1,1,2612,Saint Peter's,74.19,East,15,62
mens,3/13/22,0,1,0.054518929,0.008014949,0.001224919,0.000282771,2.97E-05,4.77E-06,1,1,43,Yale,74.44,East,14,54
mens,3/13/22,0,1,0.073151065,0.014797948,0.002654866,0.000223877,3.08E-05,4.65E-06,1,1,147,Montana State,74.31,West,14,22
mens,3/13/22,0,1,0.05386351,0.013302548,0.002199561,0.000242631,3.53E-05,4.62E-06,1,1,55,Jacksonville State,73.16,Midwest,15,94
mens,3/13/22,1,0.6860218,0.023401577,0.005165948,0.000708928,0.000108588,1.74E-05,2.42E-06,0,1,2750,Wright State,73.5,South,16a,98
mens,3/13/22,0,1,0.061591994,0.010298501,0.00119568,0.000127343,1.83E-05,2.30E-06,1,1,2344,Longwood,73.41,South,14,118
mens,3/13/22,0,1,0.051714278,0.0085572,0.00113565,0.000120359,1.70E-05,2.10E-06,1,1,48,Delaware,73.58,South,15,126
mens,3/13/22,0,1,0.011684497,0.001591686,0.000255964,3.58E-05,5.63E-06,9.60E-07,1,1,2247,Georgia State,73.48,West,16,2
mens,3/13/22,0,1,0.03560685,0.004657185,0.000620354,6.18E-05,4.59E-06,5.35E-07,1,1,2450,Norfolk State,71.42,East,16,34
mens,3/13/22,1,0.639565911,0.018687936,0.003190761,0.000335814,3.68E-05,4.31E-06,4.58E-07,0,1,2640,Texas Southern,70.37,Midwest,16a,66
mens,3/13/22,0,1,0.029084187,0.003116933,0.000425157,2.93E-05,2.91E-06,3.23E-07,1,1,2239,Cal State Fullerton,71.79,West,15,30
mens,3/13/22,1,0.3139782,0.008237328,0.001467776,0.000158915,1.94E-05,2.49E-06,2.80E-07,0,1,2803,Bryant,71.56,South,16b,99
mens,3/13/22,1,0.360434089,0.00663907,0.000758548,5.46E-05,4.12E-06,3.30E-07,2.43E-08,0,1,357,Texas A&M-Corpus Christi,67.32,Midwest,16b,67